attack,steps,epsilon,best_accuracy
fgsm,,0.0,98.97
fgsm,,0.05,97.33
fgsm,,0.1,94.07
fgsm,,0.15,88.79
fgsm,,0.2,81.45
fgsm,,0.25,72.19
fgsm,,0.3,62.9
pgd,5.0,0.0,98.97
pgd,5.0,0.05,96.86
pgd,5.0,0.1,95.75
pgd,5.0,0.15,95.02
pgd,5.0,0.2,94.31
pgd,5.0,0.25,93.67
pgd,5.0,0.3,92.89
pgd,10.0,0.0,98.97
pgd,10.0,0.05,96.83
pgd,10.0,0.1,92.0
pgd,10.0,0.15,88.78
pgd,10.0,0.2,86.44
pgd,10.0,0.25,84.08
pgd,10.0,0.3,81.2
pgd,20.0,0.0,98.97
pgd,20.0,0.05,96.78
pgd,20.0,0.1,91.85
pgd,20.0,0.15,81.08
pgd,20.0,0.2,63.75
pgd,20.0,0.25,54.37
pgd,20.0,0.3,45.84
pgd,40.0,0.0,98.97
pgd,40.0,0.05,96.76
pgd,40.0,0.1,91.8
pgd,40.0,0.15,80.77
pgd,40.0,0.2,63.17
pgd,40.0,0.25,40.02
pgd,40.0,0.3,20.23
