defense_attack,defense_steps,defense_epsilon,eval_attack,eval_steps,epsilon,mean_delta,std_delta
fgsm,,0.2,fgsm,,0.0,0.6100000000000023,0.3540480193420101
fgsm,,0.2,fgsm,,0.05,2.389999999999998,0.9157783574642955
fgsm,,0.2,fgsm,,0.1,5.730000000000001,1.790935509726685
fgsm,,0.2,fgsm,,0.15,11.645999999999995,3.1643372133829235
fgsm,,0.2,fgsm,,0.2,19.993999999999996,5.0159027103802565
fgsm,,0.2,fgsm,,0.25,29.994000000000007,6.425109337591073
fgsm,,0.2,fgsm,,0.3,39.69,6.500065384286533
fgsm,,0.2,pgd,40.0,0.0,0.6100000000000023,0.3540480193420101
fgsm,,0.2,pgd,40.0,0.05,2.7160000000000055,1.1262903710855405
fgsm,,0.2,pgd,40.0,0.1,7.986000000000004,2.607168962687304
fgsm,,0.2,pgd,40.0,0.15,19.137999999999998,4.730884695276353
fgsm,,0.2,pgd,40.0,0.2,36.332,5.945268707131749
fgsm,,0.2,pgd,40.0,0.25,54.55,7.087947516735718
fgsm,,0.2,pgd,40.0,0.3,66.296,8.44472202029173
pgd,5.0,0.2,fgsm,,0.0,0.5560000000000059,0.2946693061721939
pgd,5.0,0.2,fgsm,,0.05,2.020000000000002,0.9181230854302707
pgd,5.0,0.2,fgsm,,0.1,4.882000000000002,1.8434397196545345
pgd,5.0,0.2,fgsm,,0.15,10.097999999999994,3.1811900289042794
pgd,5.0,0.2,fgsm,,0.2,17.464,4.9424720535375855
pgd,5.0,0.2,fgsm,,0.25,26.136000000000003,6.468162799435404
pgd,5.0,0.2,fgsm,,0.3,34.394,6.502378795487074
pgd,5.0,0.2,pgd,40.0,0.0,0.5560000000000059,0.2946693061721939
pgd,5.0,0.2,pgd,40.0,0.05,2.582000000000002,1.1269960070914211
pgd,5.0,0.2,pgd,40.0,0.1,7.736000000000007,2.51233556675855
pgd,5.0,0.2,pgd,40.0,0.15,19.119999999999997,4.3541761562894985
pgd,5.0,0.2,pgd,40.0,0.2,36.97,5.453819762331719
pgd,5.0,0.2,pgd,40.0,0.25,56.327999999999996,5.30255315862085
pgd,5.0,0.2,pgd,40.0,0.3,69.48,4.134622110906873
pgd,10.0,0.2,fgsm,,0.0,0.6000000000000029,0.4477722635447616
pgd,10.0,0.2,fgsm,,0.05,2.2680000000000033,1.056276478958048
pgd,10.0,0.2,fgsm,,0.1,5.458000000000001,1.9934066318741852
pgd,10.0,0.2,fgsm,,0.15,11.063999999999997,3.426051663358276
pgd,10.0,0.2,fgsm,,0.2,19.061999999999998,5.281123933406601
pgd,10.0,0.2,fgsm,,0.25,28.476,6.716087402647467
pgd,10.0,0.2,fgsm,,0.3,37.534000000000006,6.876734690243613
pgd,10.0,0.2,pgd,40.0,0.0,0.6000000000000029,0.4477722635447616
pgd,10.0,0.2,pgd,40.0,0.05,2.826000000000002,1.2736286743003256
pgd,10.0,0.2,pgd,40.0,0.1,8.384000000000006,2.7142365409079603
pgd,10.0,0.2,pgd,40.0,0.15,20.240000000000002,4.788105053149942
pgd,10.0,0.2,pgd,40.0,0.2,38.934,5.841397949121423
pgd,10.0,0.2,pgd,40.0,0.25,60.072,5.589487454141028
pgd,10.0,0.2,pgd,40.0,0.3,76.77000000000001,4.196367476758916
pgd,20.0,0.2,fgsm,,0.0,0.5620000000000033,0.3968248984123873
pgd,20.0,0.2,fgsm,,0.05,2.3580000000000014,1.023508671189454
pgd,20.0,0.2,fgsm,,0.1,5.713999999999999,1.932014492699265
pgd,20.0,0.2,fgsm,,0.15,11.532,3.358789960685248
pgd,20.0,0.2,fgsm,,0.2,19.798,5.26484282766352
pgd,20.0,0.2,fgsm,,0.25,29.708,6.74257517570253
pgd,20.0,0.2,fgsm,,0.3,39.256,6.921010041894173
pgd,20.0,0.2,pgd,40.0,0.0,0.5620000000000033,0.3968248984123873
pgd,20.0,0.2,pgd,40.0,0.05,2.923999999999998,1.23868074983024
pgd,20.0,0.2,pgd,40.0,0.1,8.646000000000004,2.672897304424544
pgd,20.0,0.2,pgd,40.0,0.15,20.692,4.686482689608489
pgd,20.0,0.2,pgd,40.0,0.2,39.826,5.7760652697143255
pgd,20.0,0.2,pgd,40.0,0.25,61.668000000000006,5.558666206924102
pgd,20.0,0.2,pgd,40.0,0.3,79.694,4.141863107346743
pgd,40.0,0.2,fgsm,,0.0,0.6420000000000016,0.43031383895942804
pgd,40.0,0.2,fgsm,,0.05,2.4120000000000004,1.0258752360789356
pgd,40.0,0.2,fgsm,,0.1,5.780000000000001,1.9618868468900044
pgd,40.0,0.2,fgsm,,0.15,11.623999999999995,3.3818160801557564
pgd,40.0,0.2,fgsm,,0.2,19.91,5.2637914092410645
pgd,40.0,0.2,fgsm,,0.25,29.766,6.812017322350259
pgd,40.0,0.2,fgsm,,0.3,39.378,7.0107146568663
pgd,40.0,0.2,pgd,40.0,0.0,0.6420000000000016,0.43031383895942804
pgd,40.0,0.2,pgd,40.0,0.05,2.973999999999998,1.2495319123575879
pgd,40.0,0.2,pgd,40.0,0.1,8.720000000000004,2.7086804905710062
pgd,40.0,0.2,pgd,40.0,0.15,20.808,4.684364417933345
pgd,40.0,0.2,pgd,40.0,0.2,39.898,5.829028220895825
pgd,40.0,0.2,pgd,40.0,0.25,61.77,5.523671786049567
pgd,40.0,0.2,pgd,40.0,0.3,79.84,4.092279315980276
