defense_attack,defense_steps,defense_epsilon,eval_attack,eval_steps,epsilon,mean,std,count
fgsm,,0.2,fgsm,,0.0,99.17,0.10770329614268997,5
fgsm,,0.2,fgsm,,0.05,98.922,0.13791301606447642,5
fgsm,,0.2,fgsm,,0.1,98.63199999999999,0.16739175606940856,5
fgsm,,0.2,fgsm,,0.15,98.352,0.23456342425877225,5
fgsm,,0.2,fgsm,,0.2,98.002,0.2902068228005693,5
fgsm,,0.2,fgsm,,0.25,97.58200000000001,0.36492464975662936,5
fgsm,,0.2,fgsm,,0.3,97.04400000000001,0.48459261240757384,5
fgsm,,0.2,pgd,40.0,0.0,99.17,0.10770329614268997,5
fgsm,,0.2,pgd,40.0,0.05,98.65400000000001,0.1831119875922945,5
fgsm,,0.2,pgd,40.0,0.1,97.884,0.40562297765289207,5
fgsm,,0.2,pgd,40.0,0.15,96.54400000000001,0.818248128626031,5
fgsm,,0.2,pgd,40.0,0.2,94.102,1.3788292134996316,5
fgsm,,0.2,pgd,40.0,0.25,89.83,3.2348493009721517,5
fgsm,,0.2,pgd,40.0,0.3,82.566,6.1654505107088475,5
pgd,5.0,0.2,fgsm,,0.0,99.11600000000001,0.1675708805252238,5
pgd,5.0,0.2,fgsm,,0.05,98.55199999999999,0.23847431727546706,5
pgd,5.0,0.2,fgsm,,0.1,97.784,0.26529229163321255,5
pgd,5.0,0.2,fgsm,,0.15,96.804,0.3674642839787297,5
pgd,5.0,0.2,fgsm,,0.2,95.47200000000001,0.5946595664748017,5
pgd,5.0,0.2,fgsm,,0.25,93.724,0.798548683550347,5
pgd,5.0,0.2,fgsm,,0.3,91.748,1.1429216946055423,5
pgd,5.0,0.2,pgd,40.0,0.0,99.11600000000001,0.1675708805252238,5
pgd,5.0,0.2,pgd,40.0,0.05,98.52000000000001,0.2274862633215462,5
pgd,5.0,0.2,pgd,40.0,0.1,97.634,0.25948024973011014,5
pgd,5.0,0.2,pgd,40.0,0.15,96.526,0.4737932038347556,5
pgd,5.0,0.2,pgd,40.0,0.2,94.74,0.703953123439337,5
pgd,5.0,0.2,pgd,40.0,0.25,91.60799999999999,1.3275051788976193,5
pgd,5.0,0.2,pgd,40.0,0.3,85.75,2.3549416128643115,5
pgd,10.0,0.2,fgsm,,0.0,99.16,0.20359273071502235,5
pgd,10.0,0.2,fgsm,,0.05,98.8,0.2548528987474934,5
pgd,10.0,0.2,fgsm,,0.1,98.36,0.3408078637590402,5
pgd,10.0,0.2,fgsm,,0.15,97.77000000000001,0.4458138625031793,5
pgd,10.0,0.2,fgsm,,0.2,97.07000000000001,0.5535341001239198,5
pgd,10.0,0.2,fgsm,,0.25,96.064,0.6281958293398687,5
pgd,10.0,0.2,fgsm,,0.3,94.888,0.5630452912510654,5
pgd,10.0,0.2,pgd,40.0,0.0,99.16,0.20359273071502235,5
pgd,10.0,0.2,pgd,40.0,0.05,98.764,0.2656689669494719,5
pgd,10.0,0.2,pgd,40.0,0.1,98.28200000000001,0.3061372241332342,5
pgd,10.0,0.2,pgd,40.0,0.15,97.646,0.4422442763903241,5
pgd,10.0,0.2,pgd,40.0,0.2,96.704,0.43729852503752736,5
pgd,10.0,0.2,pgd,40.0,0.25,95.352,0.4525151931151035,5
pgd,10.0,0.2,pgd,40.0,0.3,93.03999999999999,0.3853569773599529,5
pgd,20.0,0.2,fgsm,,0.0,99.122,0.1127829774389733,5
pgd,20.0,0.2,fgsm,,0.05,98.89,0.1552417469626057,5
pgd,20.0,0.2,fgsm,,0.1,98.616,0.17994443586841255,5
pgd,20.0,0.2,fgsm,,0.15,98.238,0.21016660058153652,5
pgd,20.0,0.2,fgsm,,0.2,97.806,0.2632109420217892,5
pgd,20.0,0.2,fgsm,,0.25,97.296,0.31957784654134275,5
pgd,20.0,0.2,fgsm,,0.3,96.61,0.37094473981983067,5
pgd,20.0,0.2,pgd,40.0,0.0,99.122,0.1127829774389733,5
pgd,20.0,0.2,pgd,40.0,0.05,98.862,0.15530614926653663,5
pgd,20.0,0.2,pgd,40.0,0.1,98.54400000000001,0.17300289014926845,5
pgd,20.0,0.2,pgd,40.0,0.15,98.098,0.21487205495363618,5
pgd,20.0,0.2,pgd,40.0,0.2,97.596,0.28058866691297335,5
pgd,20.0,0.2,pgd,40.0,0.25,96.94800000000001,0.3227537761204393,5
pgd,20.0,0.2,pgd,40.0,0.3,95.964,0.36698773821477965,5
pgd,40.0,0.2,fgsm,,0.0,99.202,0.1473770674155237,5
pgd,40.0,0.2,fgsm,,0.05,98.944,0.11436782764396823,5
pgd,40.0,0.2,fgsm,,0.1,98.68199999999999,0.16783920876839484,5
pgd,40.0,0.2,fgsm,,0.15,98.33,0.21130546609115997,5
pgd,40.0,0.2,fgsm,,0.2,97.918,0.24345430782798105,5
pgd,40.0,0.2,fgsm,,0.25,97.354,0.27969626382917234,5
pgd,40.0,0.2,fgsm,,0.3,96.732,0.29499152530200157,5
pgd,40.0,0.2,pgd,40.0,0.0,99.202,0.1473770674155237,5
pgd,40.0,0.2,pgd,40.0,0.05,98.912,0.11099549540409352,5
pgd,40.0,0.2,pgd,40.0,0.1,98.61800000000001,0.17498571370257293,5
pgd,40.0,0.2,pgd,40.0,0.15,98.214,0.17994443586841152,5
pgd,40.0,0.2,pgd,40.0,0.2,97.668,0.2667770604830934,5
pgd,40.0,0.2,pgd,40.0,0.25,97.05,0.21319005605327981,5
pgd,40.0,0.2,pgd,40.0,0.3,96.11,0.23748684174075668,5
