attack,steps,epsilon,mean,std,count
fgsm,,0.0,98.498,0.35590729129929094,5
fgsm,,0.05,96.666,0.8103579456018175,5
fgsm,,0.1,93.17999999999999,1.3801811475310084,5
fgsm,,0.15,87.58399999999999,1.9237021598989783,5
fgsm,,0.2,79.564,2.349985106335786,5
fgsm,,0.25,69.574,2.3348190508045765,5
fgsm,,0.3,58.891999999999996,2.7629549399148763,5
pgd,5.0,0.0,98.498,0.35590729129929094,5
pgd,5.0,0.05,96.176,0.9480928224599104,5
pgd,5.0,0.1,95.036,1.0976019314851837,5
pgd,5.0,0.15,94.268,1.267939272993779,5
pgd,5.0,0.2,93.46799999999999,1.2763698523547173,5
pgd,5.0,0.25,92.55199999999999,1.3479502958195402,5
pgd,5.0,0.3,91.566,1.481968285760528,5
pgd,10.0,0.0,98.498,0.35590729129929094,5
pgd,10.0,0.05,94.838,1.2677420873348009,5
pgd,10.0,0.1,90.462,1.9289815965944361,5
pgd,10.0,0.15,87.314,2.0629663109222105,5
pgd,10.0,0.2,84.22999999999999,2.0563560003073373,5
pgd,10.0,0.25,81.072,2.447472165316701,5
pgd,10.0,0.3,77.512,2.969666647958994,5
pgd,20.0,0.0,98.498,0.35590729129929094,5
pgd,20.0,0.05,94.56800000000001,1.3160433123571595,5
pgd,20.0,0.1,84.154,2.7877284659736876,5
pgd,20.0,0.15,70.74,3.689999999999997,5
pgd,20.0,0.2,58.763999999999996,4.7324074211758225,5
pgd,20.0,0.25,47.994,6.0399610925899205,5
pgd,20.0,0.3,38.642,6.307417855192406,5
pgd,40.0,0.0,98.498,0.35590729129929094,5
pgd,40.0,0.05,94.5,1.3425721582097572,5
pgd,40.0,0.1,82.174,3.1620373179328554,5
pgd,40.0,0.15,57.14,5.808962902274383,5
pgd,40.0,0.2,29.922000000000004,7.75820017787631,5
pgd,40.0,0.25,13.124,6.300605526455374,5
pgd,40.0,0.3,5.688000000000001,4.158716148043768,5
