defense_attack,defense_steps,defense_epsilon,eval_attack,eval_steps,epsilon,mean_delta,std_delta
fgsm,,0.2,fgsm,,0.0,0.6319999999999993,0.3432491806253826
fgsm,,0.2,fgsm,,0.05,2.210000000000002,0.8118805330835276
fgsm,,0.2,fgsm,,0.1,5.4179999999999975,1.381546235201705
fgsm,,0.2,fgsm,,0.15,10.612000000000004,1.881812955636134
fgsm,,0.2,fgsm,,0.2,18.247999999999998,2.337898629111202
fgsm,,0.2,fgsm,,0.25,27.76,2.2637800246490363
fgsm,,0.2,fgsm,,0.3,37.874,2.7025136447389153
fgsm,,0.2,pgd,10.0,0.1,8.769999999999996,
fgsm,,0.2,pgd,10.0,0.2,14.64,
fgsm,,0.2,pgd,10.0,0.3,20.459999999999994,
fgsm,,0.2,pgd,40.0,0.0,0.6319999999999993,0.3432491806253826
fgsm,,0.2,pgd,40.0,0.05,3.853999999999999,1.3927957495627241
fgsm,,0.2,pgd,40.0,0.1,14.755999999999997,3.475072661110843
fgsm,,0.2,pgd,40.0,0.15,37.20399999999999,6.74524499184425
fgsm,,0.2,pgd,40.0,0.2,59.89799999999999,9.446585097271921
fgsm,,0.2,pgd,40.0,0.25,69.782,9.184860913481481
fgsm,,0.2,pgd,40.0,0.3,68.86,9.677517760252366
pgd,5.0,0.2,fgsm,,0.0,0.6280000000000001,0.33655608745051235
pgd,5.0,0.2,fgsm,,0.05,1.9999999999999971,0.7382750165080748
pgd,5.0,0.2,fgsm,,0.1,4.810000000000002,1.330958301375369
pgd,5.0,0.2,fgsm,,0.15,9.396,1.784525146922845
pgd,5.0,0.2,fgsm,,0.2,16.160000000000004,2.1380247893792146
pgd,5.0,0.2,fgsm,,0.25,24.538000000000004,2.0030651512120086
pgd,5.0,0.2,fgsm,,0.3,33.263999999999996,2.2528715009960116
pgd,5.0,0.2,pgd,40.0,0.0,0.6280000000000001,0.33655608745051235
pgd,5.0,0.2,pgd,40.0,0.05,3.8820000000000023,1.2353622950373713
pgd,5.0,0.2,pgd,40.0,0.1,14.933999999999994,2.9074524931630443
pgd,5.0,0.2,pgd,40.0,0.15,37.85,5.688070850472942
pgd,5.0,0.2,pgd,40.0,0.2,61.529999999999994,7.338313839023239
pgd,5.0,0.2,pgd,40.0,0.25,72.86800000000001,5.923374882615493
pgd,5.0,0.2,pgd,40.0,0.3,73.838,3.88426569637042
pgd,10.0,0.2,fgsm,,0.0,0.5819999999999993,0.3662239751845811
pgd,10.0,0.2,fgsm,,0.05,2.0539999999999994,0.8186452223032905
pgd,10.0,0.2,fgsm,,0.1,5.025999999999999,1.460284218910825
pgd,10.0,0.2,fgsm,,0.15,10.002000000000004,1.973213115707471
pgd,10.0,0.2,fgsm,,0.2,17.21,2.4096680269281956
pgd,10.0,0.2,fgsm,,0.25,26.163999999999998,2.234531270759034
pgd,10.0,0.2,fgsm,,0.3,35.57000000000001,2.5280921660414215
pgd,10.0,0.2,pgd,10.0,0.1,8.89,
pgd,10.0,0.2,pgd,10.0,0.2,15.13000000000001,
pgd,10.0,0.2,pgd,10.0,0.3,21.36999999999999,
pgd,10.0,0.2,pgd,40.0,0.0,0.5819999999999993,0.3662239751845811
pgd,10.0,0.2,pgd,40.0,0.05,4.004,1.3317770083613811
pgd,10.0,0.2,pgd,40.0,0.1,15.423999999999998,3.122431744650318
pgd,10.0,0.2,pgd,40.0,0.15,39.19199999999999,5.743902854331713
pgd,10.0,0.2,pgd,40.0,0.2,64.684,7.4830728982150205
pgd,10.0,0.2,pgd,40.0,0.25,79.086,5.922147414578597
pgd,10.0,0.2,pgd,40.0,0.3,84.058,3.7559246531313715
pgd,20.0,0.2,fgsm,,0.0,0.6460000000000008,0.4000374982423476
pgd,20.0,0.2,fgsm,,0.05,2.229999999999998,0.8781229982183573
pgd,20.0,0.2,fgsm,,0.1,5.451999999999998,1.4967698553885957
pgd,20.0,0.2,fgsm,,0.15,10.682000000000002,2.023454966140831
pgd,20.0,0.2,fgsm,,0.2,18.236000000000004,2.4433440199857293
pgd,20.0,0.2,fgsm,,0.25,27.720000000000006,2.4119390539563765
pgd,20.0,0.2,fgsm,,0.3,37.676,2.895069947341518
pgd,20.0,0.2,pgd,40.0,0.0,0.6460000000000008,0.4000374982423476
pgd,20.0,0.2,pgd,40.0,0.05,4.2360000000000015,1.4347055447024644
pgd,20.0,0.2,pgd,40.0,0.1,16.087999999999997,3.285623228551925
pgd,20.0,0.2,pgd,40.0,0.15,40.476,6.17846501972779
pgd,20.0,0.2,pgd,40.0,0.2,66.924,8.07824423993234
pgd,20.0,0.2,pgd,40.0,0.25,82.66,6.57400182537242
pgd,20.0,0.2,pgd,40.0,0.3,89.194,4.4874970752079655
pgd,40.0,0.2,fgsm,,0.0,0.6199999999999989,0.3796050579220426
pgd,40.0,0.2,fgsm,,0.05,2.247999999999999,0.8497176001472471
pgd,40.0,0.2,fgsm,,0.1,5.524000000000001,1.432909627296852
pgd,40.0,0.2,fgsm,,0.15,10.818000000000001,1.9775414028535503
pgd,40.0,0.2,fgsm,,0.2,18.488000000000003,2.375767244491767
pgd,40.0,0.2,fgsm,,0.25,28.072000000000003,2.3576195621855525
pgd,40.0,0.2,fgsm,,0.3,38.239999999999995,2.8317220908839227
pgd,40.0,0.2,pgd,40.0,0.0,0.6199999999999989,0.3796050579220426
pgd,40.0,0.2,pgd,40.0,0.05,4.292000000000002,1.3660783286473692
pgd,40.0,0.2,pgd,40.0,0.1,16.211999999999996,3.184834375599462
pgd,40.0,0.2,pgd,40.0,0.15,40.767999999999994,6.009123896209831
pgd,40.0,0.2,pgd,40.0,0.2,67.434,7.833152622029016
pgd,40.0,0.2,pgd,40.0,0.25,83.38,6.312733164010662
pgd,40.0,0.2,pgd,40.0,0.3,90.2,4.164378705161194
