defense_attack,defense_steps,eval_attack,eval_steps,epsilon,mean,std,min,max
fgsm,,fgsm,,0.0,99.31,,99.31,99.31
fgsm,,fgsm,,0.05,99.1,,99.1,99.1
fgsm,,fgsm,,0.1,98.85,,98.85,98.85
fgsm,,fgsm,,0.15,98.6,,98.6,98.6
fgsm,,fgsm,,0.2,98.34,,98.34,98.34
fgsm,,fgsm,,0.25,97.98,,97.98,97.98
fgsm,,fgsm,,0.3,97.52,,97.52,97.52
fgsm,,pgd,10.0,0.0,99.31,,99.31,99.31
fgsm,,pgd,10.0,0.05,98.81,,98.81,98.81
fgsm,,pgd,10.0,0.1,98.36,,98.36,98.36
fgsm,,pgd,10.0,0.15,98.16,,98.16,98.16
fgsm,,pgd,10.0,0.2,97.92,,97.92,97.92
fgsm,,pgd,10.0,0.25,97.69,,97.69,97.69
fgsm,,pgd,10.0,0.3,88.88,,88.88,88.88
pgd,10.0,fgsm,,0.0,99.21,,99.21,99.21
pgd,10.0,fgsm,,0.05,99.02,,99.02,99.02
pgd,10.0,fgsm,,0.1,98.74,,98.74,98.74
pgd,10.0,fgsm,,0.15,98.35,,98.35,98.35
pgd,10.0,fgsm,,0.2,97.97,,97.97,97.97
pgd,10.0,fgsm,,0.25,97.33,,97.33,97.33
pgd,10.0,fgsm,,0.3,96.84,,96.84,96.84
pgd,10.0,pgd,10.0,0.0,99.21,,99.21,99.21
pgd,10.0,pgd,10.0,0.05,98.91,,98.91,98.91
pgd,10.0,pgd,10.0,0.1,98.67,,98.67,98.67
pgd,10.0,pgd,10.0,0.15,98.55,,98.55,98.55
pgd,10.0,pgd,10.0,0.2,98.51,,98.51,98.51
pgd,10.0,pgd,10.0,0.25,98.42,,98.42,98.42
pgd,10.0,pgd,10.0,0.3,96.17,,96.17,96.17
