defense_attack,defense_steps,defense_epsilon,eval_attack,eval_steps,epsilon,mean,std,count
fgsm,,0.2,fgsm,,0.0,99.31,,1
fgsm,,0.2,fgsm,,0.05,99.1,,1
fgsm,,0.2,fgsm,,0.1,98.85,,1
fgsm,,0.2,fgsm,,0.15,98.6,,1
fgsm,,0.2,fgsm,,0.2,98.34,,1
fgsm,,0.2,fgsm,,0.25,97.98,,1
fgsm,,0.2,fgsm,,0.3,97.52,,1
fgsm,,0.2,pgd,10.0,0.0,99.31,,1
fgsm,,0.2,pgd,10.0,0.05,98.81,,1
fgsm,,0.2,pgd,10.0,0.1,98.36,,1
fgsm,,0.2,pgd,10.0,0.15,98.16,,1
fgsm,,0.2,pgd,10.0,0.2,97.92,,1
fgsm,,0.2,pgd,10.0,0.25,97.69,,1
fgsm,,0.2,pgd,10.0,0.3,88.88,,1
pgd,10.0,0.2,fgsm,,0.0,99.21,,1
pgd,10.0,0.2,fgsm,,0.05,99.02,,1
pgd,10.0,0.2,fgsm,,0.1,98.74,,1
pgd,10.0,0.2,fgsm,,0.15,98.35,,1
pgd,10.0,0.2,fgsm,,0.2,97.97,,1
pgd,10.0,0.2,fgsm,,0.25,97.33,,1
pgd,10.0,0.2,fgsm,,0.3,96.84,,1
pgd,10.0,0.2,pgd,10.0,0.0,99.21,,1
pgd,10.0,0.2,pgd,10.0,0.05,98.91,,1
pgd,10.0,0.2,pgd,10.0,0.1,98.67,,1
pgd,10.0,0.2,pgd,10.0,0.15,98.55,,1
pgd,10.0,0.2,pgd,10.0,0.2,98.51,,1
pgd,10.0,0.2,pgd,10.0,0.25,98.42,,1
pgd,10.0,0.2,pgd,10.0,0.3,96.17,,1
