attack,steps,epsilon,mean,std,min,max
fgsm,,0.0,98.498,0.35590729129929094,97.98,98.91
fgsm,,0.05,96.666,0.8103579456018175,95.47,97.6
fgsm,,0.1,93.17999999999999,1.3801811475310084,91.05,94.78
fgsm,,0.15,87.58399999999999,1.9237021598989783,84.81,89.94
fgsm,,0.2,79.564,2.349985106335786,75.99,82.48
fgsm,,0.25,69.574,2.3348190508045765,65.7,72.02
fgsm,,0.3,58.891999999999996,2.7629549399148763,54.16,61.03
pgd,5.0,0.0,98.498,0.35590729129929094,97.98,98.91
pgd,5.0,0.05,96.176,0.9480928224599104,94.75,97.25
pgd,5.0,0.1,95.036,1.0976019314851837,93.39,96.26
pgd,5.0,0.15,94.268,1.267939272993779,92.36,95.8
pgd,5.0,0.2,93.46799999999999,1.2763698523547173,91.52,95.03
pgd,5.0,0.25,92.55199999999999,1.3479502958195402,90.67,94.32
pgd,5.0,0.3,91.566,1.481968285760528,89.66,93.5
pgd,10.0,0.0,98.498,0.35590729129929094,97.98,98.91
pgd,10.0,0.05,94.838,1.2677420873348009,92.97,96.22
pgd,10.0,0.1,90.462,1.9289815965944361,87.88,92.18
pgd,10.0,0.15,87.314,2.0629663109222105,84.51,89.21
pgd,10.0,0.2,84.22999999999999,2.0563560003073373,81.77,86.46
pgd,10.0,0.25,81.072,2.447472165316701,79.02,84.09
pgd,10.0,0.3,77.512,2.969666647958994,74.46,81.03
pgd,20.0,0.0,98.498,0.35590729129929094,97.98,98.91
pgd,20.0,0.05,94.56800000000001,1.3160433123571595,92.67,96.01
pgd,20.0,0.1,84.154,2.7877284659736876,80.65,86.29
pgd,20.0,0.15,70.74,3.689999999999997,66.14,75.47
pgd,20.0,0.2,58.763999999999996,4.7324074211758225,53.68,66.48
pgd,20.0,0.25,47.994,6.0399610925899205,42.15,57.81
pgd,20.0,0.3,38.642,6.307417855192406,33.18,48.54
pgd,40.0,0.0,98.498,0.35590729129929094,97.98,98.91
pgd,40.0,0.05,94.5,1.3425721582097572,92.58,95.95
pgd,40.0,0.1,82.174,3.1620373179328554,78.61,84.64
pgd,40.0,0.15,57.14,5.808962902274383,49.7,65.86
pgd,40.0,0.2,29.922000000000004,7.75820017787631,21.89,42.61
pgd,40.0,0.25,13.124,6.300605526455374,7.07,23.26
pgd,40.0,0.3,5.688000000000001,4.158716148043768,1.98,12.25
